common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
grey-crowned babbler,Pomatostomus_temporalis,number of fledglings,0.18,0.31,0.36,11,2,"""RS babbler&vanga"" .xlsx file ",Eguchi. pers. comm.,13,10,Figure 1,Eguchi. K.. Yamaguchi. N.. Ueda. K.. Nagata. H.. Takagi. M. & Nose. R. (2007) Social structure and helping behaviour of the Grey-crowned Babbler Pomatostomus temporalis. J Ornithol 148: S203–S210.
grey-crowned babbler,Pomatostomus_temporalis,number of fledglings,0.52,0.76,0.81,21,3,"""RS babbler&vanga"" .xlsx file ",ibid.,24,18,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,number of fledglings,0.72,0.59,0.47,18,4,"""RS babbler&vanga"" .xlsx file ",ibid.,25,19,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,number of fledglings,0.9,0.96,0.98,21,5,"""RS babbler&vanga"" .xlsx file ",ibid.,15,11,Figure 1,ibid.
Tibetan ground tit,Pseudopodoces_humilis,number of fledglings,4.14,2.04,4.16,58,2,supplementary data (Tianjun County),Zhao. Q. et al. (2019) Egg investment in response to helper presence in cooperatively breeding Tibetan ground tits. Journal of Avian Biology e02075.,63,NA,methods,Zhao. Q. et al. (2019) Egg investment in response to helper presence in cooperatively breeding Tibetan ground tits. Journal of Avian Biology e02075.
Tibetan ground tit,Pseudopodoces_humilis,number of fledglings,4.66,2.25,5.07,32,3,supplementary data (Tianjun County),ibid.,31,NA,methods,ibid.
Tibetan ground tit,Pseudopodoces_humilis,number of fledglings,5,0,0,2,4,supplementary data (Tianjun County),ibid.,5,NA,methods,ibid.
Tibetan ground tit,Pseudopodoces_humilis,number of fledglings,5,1.41,2,2,5,supplementary data (Tianjun County),ibid.,1,NA,methods,ibid.
rufous vanga,Schetba_rufa,number of fledglings / year,0.67,0.74,0.98,57,2,"""RS babbler&vanga"" .xlsx file ",Eguchi. pers. comm.,63,158,,Asai. .S. Yamagishi. S. & Eguchi. K. (2001) History of group composition of the Rufous Vanga Schetba rufa at Ampijoroa in Northwestern Madagascar. Mem. Fac. Sci. Kyoto Uni. 17: 33-40.
rufous vanga,Schetba_rufa,number of fledglings / year,1.68,1.48,2.26,25,3,"""RS babbler&vanga"" .xlsx file ",ibid.,16,39,,ibid.
